region_id,time_slot,day_of_week,supply,demand,demand_supply_gap
1,17,1,6,42,36
1,17,2,3,44,41
1,17,3,6,44,38
1,17,4,19,103,84
1,17,5,9,88,79
1,17,6,2,67,65
1,18,0,0,42,42
1,18,1,9,45,36
1,18,2,1,41,40
1,18,3,4,41,37
1,18,4,11,87,76
1,18,5,17,82,65
1,18,6,4,53,49
1,19,0,10,51,41
1,19,1,5,29,24
1,19,2,4,31,27
1,19,3,4,38,34
1,19,4,11,76,65
1,19,5,4,39,35
1,19,6,3,42,39
1,20,0,1,31,30
1,20,1,20,52,32
1,20,2,3,38,35
1,20,3,3,34,31
1,20,4,3,64,61
1,20,5,3,53,50
1,20,6,5,54,49
1,21,0,2,28,26
1,21,1,8,39,31
1,21,2,8,24,16
1,21,3,5,34,29
1,21,4,3,50,47
1,21,5,3,42,39
1,21,6,16,63,47
1,22,0,2,29,27
1,22,1,3,22,19
1,22,2,6,42,36
1,22,3,4,24,20
1,22,4,3,47,44
1,22,5,4,38,34
1,22,6,4,37,33
1,23,0,5,28,23
1,23,1,4,28,24
1,23,2,3,24,21
1,23,3,4,24,20
1,23,4,10,45,35
1,23,5,10,31,21
1,23,6,1,33,32
1,24,0,3,31,28
1,24,1,6,24,18
1,24,2,2,21,19
1,24,3,1,24,23
1,24,4,1,30,29
1,24,5,0,22,22
1,24,6,5,33,28
1,25,0,3,22,19
1,25,1,2,21,19
1,25,2,4,19,15
1,25,3,1,10,9
1,25,4,1,30,29
1,25,5,0,20,20
1,25,6,2,34,32
1,26,0,6,23,17
1,26,1,4,24,20
1,26,2,1,30,29
1,26,3,2,22,20
1,26,4,6,44,38
1,26,5,1,30,29
1,26,6,3,19,16
1,27,0,1,23,22
1,27,1,5,22,17
1,27,2,2,31,29
1,27,3,3,27,24
1,27,4,2,29,27
1,27,5,0,22,22
1,27,6,0,29,29
1,28,0,1,18,17
1,28,1,3,16,13
1,28,2,7,20,13
1,28,3,1,23,22
1,28,4,4,39,35
1,28,5,2,25,23
1,28,6,3,27,24
1,29,0,1,24,23
1,29,1,3,27,24
1,29,2,5,18,13
1,29,3,5,21,16
1,29,4,16,38,22
1,29,5,5,30,25
1,29,6,1,20,19
1,30,0,2,18,16
1,30,1,5,24,19
1,30,2,9,22,13
1,30,3,10,25,15
1,30,4,29,51,22
1,30,5,6,28,22
1,30,6,5,25,20
1,31,0,0,16,16
1,31,1,6,29,23
1,31,2,3,26,23
1,31,3,7,31,24
1,31,4,17,50,33
1,31,5,12,40,28
1,31,6,4,25,21
1,32,0,2,16,14
1,32,1,8,26,18
1,32,2,3,21,18
1,32,3,3,24,21
1,32,4,27,48,21
1,32,5,5,32,27
1,32,6,5,32,27
1,33,0,3,31,28
1,33,1,2,22,20
1,33,2,4,24,20
1,33,3,7,28,21
1,33,4,56,85,29
1,33,5,4,35,31
1,33,6,14,42,28
1,34,0,3,36,33
1,34,1,10,33,23
1,34,2,2,26,24
1,34,3,8,26,18
1,34,4,58,84,26
1,34,5,9,58,49
1,34,6,4,40,36
1,35,0,19,46,27
1,35,1,18,57,39
1,35,2,19,60,41
1,35,3,16,43,27
1,35,4,116,164,48
1,35,5,16,56,40
1,35,6,12,63,51
1,36,0,25,72,47
1,36,1,8,61,53
1,36,2,49,100,51
1,36,3,32,77,45
1,36,4,226,272,46
1,36,5,18,73,55
1,36,6,11,62,51
1,37,0,22,68,46
1,37,1,20,73,53
1,37,2,17,73,56
1,37,3,19,75,56
1,37,4,227,303,76
1,37,5,33,101,68
1,37,6,13,56,43
1,38,0,20,85,65
1,38,1,31,103,72
1,38,2,9,88,79
1,38,3,17,90,73
1,38,4,227,299,72
1,38,5,13,85,72
1,38,6,20,80,60
1,39,0,5,128,123
1,39,1,3,102,99
1,39,2,8,129,121
1,39,3,3,120,117
1,39,4,248,374,126
1,39,5,1,106,105
1,39,6,9,81,72
1,40,0,3,135,132
1,40,1,5,136,131
1,40,2,5,142,137
1,40,3,3,145,142
1,40,4,187,314,127
1,40,5,7,122,115
1,40,6,7,97,90
1,41,0,5,212,207
1,41,1,5,176,171
1,41,2,7,178,171
1,41,3,4,165,161
1,41,4,70,237,167
1,41,5,6,126,120
1,41,6,8,121,113
1,42,0,4,276,272
1,42,1,4,262,258
1,42,2,14,297,283
1,42,3,9,257,248
1,42,4,60,307,247
1,42,5,7,164,157
1,42,6,2,143,141
1,43,0,5,344,339
1,43,1,10,339,329
1,43,2,10,362,352
1,43,3,8,359,351
1,43,4,12,333,321
1,43,5,1,217,216
1,43,6,6,169,163
1,44,0,6,467,461
1,44,1,6,470,464
1,44,2,8,454,446
1,44,3,12,486,474
1,44,4,7,395,388
1,44,5,6,251,245
1,44,6,5,206,201
1,45,0,5,640,635
1,45,1,9,642,633
1,45,2,11,729,718
1,45,3,12,724,712
1,45,4,12,560,548
1,45,5,6,289,283
1,45,6,10,317,307
1,46,0,24,782,758
1,46,1,19,695,676
1,46,2,11,864,853
1,46,3,36,805,769
1,46,4,10,608,598
1,46,5,9,372,363
1,46,6,5,318,313
1,47,0,25,807,782
1,47,1,15,741,726
1,47,2,15,862,847
1,47,3,26,801,775
1,47,4,11,607,596
1,47,5,10,363,353
1,47,6,6,298,292
1,48,0,78,1048,970
1,48,1,32,979,947
1,48,2,31,1108,1077
1,48,3,157,1158,1001
1,48,4,17,771,754
1,48,5,10,472,462
1,48,6,8,399,391
1,49,0,402,1448,1046
1,49,1,101,1241,1140
1,49,2,213,1354,1141
1,49,3,316,1358,1042
1,49,4,30,922,892
1,49,5,17,584,567
1,49,6,9,489,480
1,50,0,209,1115,906
1,50,1,57,991,934
1,50,2,195,1175,980
1,50,3,230,1196,966
1,50,4,54,814,760
1,50,5,15,615,600
1,50,6,15,491,476
1,51,0,183,1267,1084
1,51,1,58,1113,1055
1,51,2,128,1281,1153
1,51,3,154,1212,1058
1,51,4,20,785,765
1,51,5,34,666,632
1,51,6,9,561,552
1,52,0,330,1477,1147
1,52,1,132,1354,1222
1,52,2,116,1324,1208
1,52,3,234,1335,1101
1,52,4,47,968,921
1,52,5,25,706,681
1,52,6,22,557,535
1,53,0,76,927,851
1,53,1,30,894,864
1,53,2,33,861,828
1,53,3,31,873,842
1,53,4,18,697,679
1,53,5,14,469,455
1,53,6,9,424,415
1,54,0,18,660,642
1,54,1,14,683,669
1,54,2,18,657,639
1,54,3,15,666,651
1,54,4,16,548,532
1,54,5,9,418,409
1,54,6,4,405,401
1,55,0,8,651,643
1,55,1,13,600,587
1,55,2,15,644,629
1,55,3,14,610,596
1,55,4,7,520,513
1,55,5,12,432,420
1,55,6,5,399,394
1,56,0,9,573,564
1,56,1,13,553,540
1,56,2,8,590,582
1,56,3,12,557,545
1,56,4,20,508,488
1,56,5,5,416,411
1,56,6,14,386,372
1,57,0,19,531,512
1,57,1,20,500,480
1,57,2,6,445,439
1,57,3,9,534,525
1,57,4,11,450,439
1,57,5,13,399,386
1,57,6,7,333,326
1,58,0,9,531,522
1,58,1,14,510,496
1,58,2,9,535,526
1,58,3,13,487,474
1,58,4,15,448,433
1,58,5,7,425,418
1,58,6,11,432,421
1,59,0,7,407,400
1,59,1,8,428,420
1,59,2,10,494,484
1,59,3,8,445,437
1,59,4,12,436,424
1,59,5,14,454,440
1,59,6,11,390,379
1,60,0,4,394,390
1,60,1,9,387,378
1,60,2,7,387,380
1,60,3,15,429,414
1,60,4,12,512,500
1,60,5,11,435,424
1,60,6,4,441,437
1,61,0,10,407,397
1,61,1,6,364,358
1,61,2,6,372,366
1,61,3,6,392,386
1,61,4,11,412,401
1,61,5,7,392,385
1,61,6,9,399,390
1,62,0,8,364,356
1,62,1,9,345,336
1,62,2,11,358,347
1,62,3,8,390,382
1,62,4,9,416,407
1,62,5,8,379,371
1,62,6,8,396,388
1,63,0,7,419,412
1,63,1,7,338,331
1,63,2,5,412,407
1,63,3,10,391,381
1,63,4,28,444,416
1,63,5,7,396,389
1,63,6,10,408,398
1,64,0,11,366,355
1,64,1,10,385,375
1,64,2,10,356,346
1,64,3,8,393,385
1,64,4,8,414,406
1,64,5,10,384,374
1,64,6,9,425,416
1,65,0,13,383,370
1,65,1,3,340,337
1,65,2,10,405,395
1,65,3,9,415,406
1,65,4,13,388,375
1,65,5,10,401,391
1,65,6,5,407,402
1,66,0,18,458,440
1,66,1,9,404,395
1,66,2,12,412,400
1,66,3,11,425,414
1,66,4,10,501,491
1,66,5,9,446,437
1,66,6,14,420,406
1,67,0,10,438,428
1,67,1,14,391,377
1,67,2,9,444,435
1,67,3,11,450,439
1,67,4,23,530,507
1,67,5,9,451,442
1,67,6,12,443,431
1,68,0,11,409,398
1,68,1,9,411,402
1,68,2,17,397,380
1,68,3,32,455,423
1,68,4,36,493,457
1,68,5,10,420,410
1,68,6,20,502,482
1,69,0,9,476,467
1,69,1,20,490,470
1,69,2,32,486,454
1,69,3,12,483,471
1,69,4,27,532,505
1,69,5,16,484,468
1,69,6,19,566,547
1,70,0,18,490,472
1,70,1,9,507,498
1,70,2,44,529,485
1,70,3,24,451,427
1,70,4,34,596,562
1,70,5,9,497,488
1,70,6,19,611,592
1,71,0,14,496,482
1,71,1,12,469,457
1,71,2,13,516,503
1,71,3,22,461,439
1,71,4,50,615,565
1,71,5,15,509,494
1,71,6,16,592,576
1,72,0,13,514,501
1,72,1,33,500,467
1,72,2,17,460,443
1,72,3,21,501,480
1,72,4,28,589,561
1,72,5,11,512,501
1,72,6,21,650,629
1,73,0,18,469,451
1,73,1,18,428,410
1,73,2,19,514,495
1,73,3,27,511,484
1,73,4,31,547,516
1,73,5,14,510,496
1,73,6,18,615,597
1,74,0,16,486,470
1,74,1,14,415,401
1,74,2,10,460,450
1,74,3,12,457,445
1,74,4,28,499,471
1,74,5,13,547,534
1,74,6,17,550,533
1,75,0,10,516,506
1,75,1,18,445,427
1,75,2,12,497,485
1,75,3,15,484,469
1,75,4,16,522,506
1,75,5,14,512,498
1,75,6,16,590,574
1,76,0,16,563,547
1,76,1,20,513,493
1,76,2,14,491,477
1,76,3,12,516,504
1,76,4,25,550,525
1,76,5,15,545,530
1,76,6,11,607,596
1,77,0,16,516,500
1,77,1,18,475,457
1,77,2,14,479,465
1,77,3,18,506,488
1,77,4,11,515,504
1,77,5,16,554,538
1,77,6,18,631,613
1,78,0,20,574,554
1,78,1,16,498,482
1,78,2,9,500,491
1,78,3,15,479,464
1,78,4,14,569,555
1,78,5,13,552,539
1,78,6,17,580,563
1,79,0,14,525,511
1,79,1,9,457,448
1,79,2,19,560,541
1,79,3,13,506,493
1,79,4,21,579,558
1,79,5,13,545,532
1,79,6,24,640,616
1,80,0,19,499,480
1,80,1,13,433,420
1,80,2,15,486,471
1,80,3,17,541,524
1,80,4,22,590,568
1,80,5,10,557,547
1,80,6,17,594,577
1,81,0,11,524,513
1,81,1,10,514,504
1,81,2,6,484,478
1,81,3,10,463,453
1,81,4,26,547,521
1,81,5,12,531,519
1,81,6,16,652,636
1,82,0,7,486,479
1,82,1,18,467,449
1,82,2,18,522,504
1,82,3,12,462,450
1,82,4,12,511,499
1,82,5,12,578,566
1,82,6,12,618,606
1,83,0,11,515,504
1,83,1,10,439,429
1,83,2,7,439,432
1,83,3,14,478,464
1,83,4,20,558,538
1,83,5,16,572,556
1,83,6,12,647,635
1,84,0,14,528,514
1,84,1,17,442,425
1,84,2,11,505,494
1,84,3,13,473,460
1,84,4,16,563,547
1,84,5,14,555,541
1,84,6,11,621,610
1,85,0,18,510,492
1,85,1,11,452,441
1,85,2,13,469,456
1,85,3,11,441,430
1,85,4,20,543,523
1,85,5,12,559,547
1,85,6,18,645,627
1,86,0,18,478,460
1,86,1,19,437,418
1,86,2,16,429,413
1,86,3,23,477,454
1,86,4,18,541,523
1,86,5,13,531,518
1,86,6,8,671,663
1,87,0,14,519,505
1,87,1,17,441,424
1,87,2,13,485,472
1,87,3,11,552,541
1,87,4,19,544,525
1,87,5,9,579,570
1,87,6,23,699,676
1,88,0,15,488,473
1,88,1,12,445,433
1,88,2,8,466,458
1,88,3,31,550,519
1,88,4,20,555,535
1,88,5,13,598,585
1,88,6,11,645,634
1,89,0,6,482,476
1,89,1,8,458,450
1,89,2,12,449,437
1,89,3,65,552,487
1,89,4,18,575,557
1,89,5,17,606,589
1,89,6,20,645,625
1,90,0,9,525,516
1,90,1,12,495,483
1,90,2,15,488,473
1,90,3,92,576,484
1,90,4,11,598,587
1,90,5,29,652,623
1,90,6,8,616,608
1,91,0,13,554,541
1,91,1,16,516,500
1,91,2,29,495,466
1,91,3,77,536,459
1,91,4,20,560,540
1,91,5,14,573,559
1,91,6,14,652,638
1,92,0,10,552,542
1,92,1,14,519,505
1,92,2,34,512,478
1,92,3,70,524,454
1,92,4,19,574,555
1,92,5,11,552,541
1,92,6,14,673,659
1,93,0,10,569,559
1,93,1,13,495,482
1,93,2,12,551,539
1,93,3,15,534,519
1,93,4,11,601,590
1,93,5,17,558,541
1,93,6,19,718,699
1,94,0,16,513,497
1,94,1,9,520,511
1,94,2,14,522,508
1,94,3,11,467,456
1,94,4,17,579,562
1,94,5,19,550,531
1,94,6,17,712,695
1,95,0,9,540,531
1,95,1,15,526,511
1,95,2,8,526,518
1,95,3,24,469,445
1,95,4,16,586,570
1,95,5,21,575,554
1,95,6,18,731,713
1,96,0,12,611,599
1,96,1,15,603,588
1,96,2,20,605,585
1,96,3,13,544,531
1,96,4,16,573,557
1,96,5,33,664,631
1,96,6,24,781,757
1,97,0,12,603,591
1,97,1,21,608,587
1,97,2,12,551,539
1,97,3,19,540,521
1,97,4,17,619,602
1,97,5,12,623,611
1,97,6,14,741,727
1,98,0,26,650,624
1,98,1,18,594,576
1,98,2,26,578,552
1,98,3,12,610,598
1,98,4,22,723,701
1,98,5,12,641,629
1,98,6,12,733,721
1,99,0,16,639,623
1,99,1,19,627,608
1,99,2,14,693,679
1,99,3,14,654,640
1,99,4,22,701,679
1,99,5,13,708,695
1,99,6,22,797,775
1,100,0,15,623,608
1,100,1,31,636,605
1,100,2,30,645,615
1,100,3,20,609,589
1,100,4,16,687,671
1,100,5,20,647,627
1,100,6,16,814,798
1,101,0,25,688,663
1,101,1,3,594,591
1,101,2,14,645,631
1,101,3,13,665,652
1,101,4,25,739,714
1,101,5,18,690,672
1,101,6,14,763,749
1,102,0,30,839,809
1,102,1,21,846,825
1,102,2,22,884,862
1,102,3,21,925,904
1,102,4,18,836,818
1,102,5,20,709,689
1,102,6,18,831,813
1,103,0,18,754,736
1,103,1,17,704,687
1,103,2,28,801,773
1,103,3,23,750,727
1,103,4,22,820,798
1,103,5,16,687,671
1,103,6,23,832,809
1,104,0,15,687,672
1,104,1,25,736,711
1,104,2,24,749,725
1,104,3,23,735,712
1,104,4,20,803,783
1,104,5,21,802,781
1,104,6,23,805,782
1,105,0,23,907,884
1,105,1,10,865,855
1,105,2,27,910,883
1,105,3,18,943,925
1,105,4,31,908,877
1,105,5,24,874,850
1,105,6,30,906,876
1,106,0,15,848,833
1,106,1,18,819,801
1,106,2,27,841,814
1,106,3,23,809,786
1,106,4,26,899,873
1,106,5,19,856,837
1,106,6,21,803,782
1,107,0,26,801,775
1,107,1,15,748,733
1,107,2,28,779,751
1,107,3,30,765,735
1,107,4,23,825,802
1,107,5,15,784,769
1,107,6,17,821,804
1,108,0,26,839,813
1,108,1,30,915,885
1,108,2,25,910,885
1,108,3,22,850,828
1,108,4,25,858,833
1,108,5,32,850,818
1,108,6,22,920,898
1,109,0,32,789,757
1,109,1,21,845,824
1,109,2,26,849,823
1,109,3,18,774,756
1,109,4,24,836,812
1,109,5,20,798,778
1,109,6,24,825,801
1,110,0,21,794,773
1,110,1,34,822,788
1,110,2,26,793,767
1,110,3,17,718,701
1,110,4,28,868,840
1,110,5,14,767,753
1,110,6,12,755,743
1,111,0,11,749,738
1,111,1,19,783,764
1,111,2,17,746,729
1,111,3,23,797,774
1,111,4,28,802,774
1,111,5,20,795,775
1,111,6,8,754,746
1,112,0,23,696,673
1,112,1,17,730,713
1,112,2,15,712,697
1,112,3,17,667,650
1,112,4,9,722,713
1,112,5,42,808,766
1,112,6,18,734,716
1,113,0,20,656,636
1,113,1,11,650,639
1,113,2,16,647,631
1,113,3,20,659,639
1,113,4,14,706,692
1,113,5,35,799,764
1,113,6,21,779,758
1,114,0,12,634,622
1,114,1,13,658,645
1,114,2,20,673,653
1,114,3,15,653,638
1,114,4,16,747,731
1,114,5,20,728,708
1,114,6,16,712,696
1,115,0,12,598,586
1,115,1,22,651,629
1,115,2,15,587,572
1,115,3,7,603,596
1,115,4,22,739,717
1,115,5,20,695,675
1,115,6,19,756,737
1,116,0,22,579,557
1,116,1,14,584,570
1,116,2,15,649,634
1,116,3,24,648,624
1,116,4,17,683,666
1,116,5,21,625,604
1,116,6,13,709,696
1,117,0,16,622,606
1,117,1,17,657,640
1,117,2,19,664,645
1,117,3,12,616,604
1,117,4,22,692,670
1,117,5,15,625,610
1,117,6,14,758,744
1,118,0,20,614,594
1,118,1,11,613,602
1,118,2,24,702,678
1,118,3,15,569,554
1,118,4,17,684,667
1,118,5,18,685,667
1,118,6,25,723,698
1,119,0,18,651,633
1,119,1,20,665,645
1,119,2,15,660,645
1,119,3,23,609,586
1,119,4,15,702,687
1,119,5,22,717,695
1,119,6,25,781,756
1,120,0,27,698,671
1,120,1,12,693,681
1,120,2,23,715,692
1,120,3,21,686,665
1,120,4,21,758,737
1,120,5,11,665,654
1,120,6,8,752,744
1,121,0,15,671,656
1,121,1,23,668,645
1,121,2,14,777,763
1,121,3,19,694,675
1,121,4,28,787,759
1,121,5,22,710,688
1,121,6,19,750,731
1,122,0,20,672,652
1,122,1,16,684,668
1,122,2,15,671,656
1,122,3,19,715,696
1,122,4,20,744,724
1,122,5,11,706,695
1,122,6,28,726,698
1,123,0,19,713,694
1,123,1,22,775,753
1,123,2,26,726,700
1,123,3,23,671,648
1,123,4,25,817,792
1,123,5,15,750,735
1,123,6,17,715,698
1,124,0,12,678,666
1,124,1,20,765,745
1,124,2,23,750,727
1,124,3,18,666,648
1,124,4,17,731,714
1,124,5,10,663,653
1,124,6,16,731,715
1,125,0,30,692,662
1,125,1,20,792,772
1,125,2,6,691,685
1,125,3,12,669,657
1,125,4,19,792,773
1,125,5,20,768,748
1,125,6,22,760,738
1,126,0,20,771,751
1,126,1,18,820,802
1,126,2,18,778,760
1,126,3,21,730,709
1,126,4,33,821,788
1,126,5,15,708,693
1,126,6,21,772,751
1,127,0,12,620,608
1,127,1,11,657,646
1,127,2,24,790,766
1,127,3,17,705,688
1,127,4,18,810,792
1,127,5,16,695,679
1,127,6,17,674,657
1,128,0,18,639,621
1,128,1,21,679,658
1,128,2,20,654,634
1,128,3,20,652,632
1,128,4,24,783,759
1,128,5,22,729,707
1,128,6,19,662,643
1,129,0,15,615,600
1,129,1,19,674,655
1,129,2,24,668,644
1,129,3,18,595,577
1,129,4,18,688,670
1,129,5,29,758,729
1,129,6,24,680,656
1,130,0,13,595,582
1,130,1,11,611,600
1,130,2,11,611,600
1,130,3,13,583,570
1,130,4,24,694,670
1,130,5,15,648,633
1,130,6,14,607,593
1,131,0,10,625,615
1,131,1,8,576,568
1,131,2,12,653,641
1,131,3,14,591,577
1,131,4,25,754,729
1,131,5,29,846,817
1,131,6,30,626,596
1,132,0,21,682,661
1,132,1,18,669,651
1,132,2,17,673,656
1,132,3,14,611,597
1,132,4,18,801,783
1,132,5,110,970,860
1,132,6,12,621,609
1,133,0,20,550,530
1,133,1,12,477,465
1,133,2,11,529,518
1,133,3,22,478,456
1,133,4,31,664,633
1,133,5,171,892,721
1,133,6,17,577,560
1,134,0,15,421,406
1,134,1,12,427,415
1,134,2,8,473,465
1,134,3,17,442,425
1,134,4,22,554,532
1,134,5,135,745,610
1,134,6,15,454,439
1,135,0,10,403,393
1,135,1,14,334,320
1,135,2,15,394,379
1,135,3,16,420,404
1,135,4,17,527,510
1,135,5,31,541,510
1,135,6,10,389,379
1,136,0,7,320,313
1,136,1,13,292,279
1,136,2,4,348,344
1,136,3,10,333,323
1,136,4,15,456,441
1,136,5,23,501,478
1,136,6,19,402,383
1,137,0,11,344,333
1,137,1,17,349,332
1,137,2,4,341,337
1,137,3,8,320,312
1,137,4,20,404,384
1,137,5,16,486,470
1,137,6,17,354,337
1,138,0,7,241,234
1,138,1,5,246,241
1,138,2,15,261,246
1,138,3,13,264,251
1,138,4,14,366,352
1,138,5,8,381,373
1,138,6,7,343,336
1,139,0,13,245,232
1,139,1,6,210,204
1,139,2,13,267,254
1,139,3,13,254,241
1,139,4,10,331,321
1,139,5,15,322,307
1,139,6,15,269,254
1,140,0,4,206,202
1,140,1,2,219,217
1,140,2,11,223,212
1,140,3,16,235,219
1,140,4,8,335,327
1,140,5,8,333,325
1,140,6,11,261,250
1,141,0,9,195,186
1,141,1,6,200,194
1,141,2,1,187,186
1,141,3,15,220,205
1,141,4,8,269,261
1,141,5,5,261,256
1,141,6,9,235,226
1,142,0,10,173,163
1,142,1,7,162,155
1,142,2,7,214,207
1,142,3,9,174,165
1,142,4,11,260,249
1,142,5,8,258,250
1,142,6,12,159,147
1,143,0,11,161,150
1,143,1,8,176,168
1,143,2,13,196,183
1,143,3,16,194,178
1,143,4,4,230,226
1,143,5,11,250,239
1,143,6,9,162,153
2,0,0,0,16,16
2,0,1,0,18,18
2,0,2,1,25,24
2,0,3,1,23,22
2,0,4,2,28,26
2,0,5,2,29,27
2,0,6,2,39,37
2,1,0,0,18,18
2,1,1,1,22,21
2,1,2,0,22,22
2,1,3,3,26,23
2,1,4,0,30,30
2,1,5,0,23,23
2,1,6,2,27,25
2,2,0,1,18,17
2,2,1,2,19,17
2,2,2,1,34,33
2,2,3,2,19,17
2,2,4,0,25,25
2,2,5,0,16,16
2,2,6,0,29,29
2,3,0,2,26,24
2,3,1,0,13,13
2,3,2,3,22,19
2,3,3,2,24,22
2,3,4,0,20,20
2,3,5,0,24,24
2,3,6,1,27,26
2,4,0,2,20,18
2,4,1,2,13,11
2,4,2,0,17,17
2,4,3,1,16,15
2,4,4,1,28,27
2,4,5,6,24,18
2,4,6,1,21,20
2,5,0,2,16,14
2,5,1,1,15,14
2,5,2,0,18,18
2,5,3,0,11,11
2,5,4,3,27,24
2,5,5,3,15,12
2,5,6,0,15,15
2,6,0,1,12,11
2,6,1,0,17,17
2,6,2,3,25,22
2,6,3,0,12,12
2,6,4,4,25,21
2,6,5,1,17,16
2,6,6,1,23,22
2,7,0,1,11,10
2,7,1,0,6,6
2,7,2,2,13,11
2,7,3,5,15,10
2,7,4,0,14,14
2,7,5,1,14,13
2,7,6,4,16,12
2,8,0,0,11,11
2,8,1,0,9,9
2,8,2,5,17,12
2,8,3,1,8,7
2,8,4,0,9,9
2,8,5,0,13,13
2,8,6,2,12,10
2,9,0,2,13,11
2,9,1,0,4,4
2,9,2,0,11,11
2,9,3,0,8,8
2,9,4,0,11,11
2,9,5,1,8,7
2,9,6,1,18,17
2,10,0,1,6,5
2,10,1,0,13,13
2,10,2,1,8,7
2,10,3,2,13,11
2,10,4,1,17,16
2,10,5,1,13,12
2,10,6,1,16,15
2,11,0,3,11,8
2,11,1,2,5,3
2,11,2,7,14,7
2,11,3,0,3,3
2,11,4,1,11,10
2,11,5,4,5,1
2,11,6,2,8,6
2,12,0,0,6,6
2,12,1,3,12,9
2,12,2,2,7,5
2,12,3,0,7,7
2,12,4,1,11,10
2,12,5,2,10,8
2,12,6,1,4,3
2,13,0,2,11,9
2,13,1,0,2,2
2,13,2,0,11,11
2,13,3,2,8,6
2,13,4,3,12,9
2,13,5,2,7,5
2,13,6,3,7,4
2,14,0,1,5,4
2,14,1,0,4,4
2,14,2,3,13,10
2,14,3,1,7,6
2,14,4,0,5,5
2,14,5,1,8,7
2,14,6,2,15,13
2,15,0,1,5,4
2,15,1,0,5,5
2,15,2,2,8,6
2,15,3,1,5,4
2,15,4,3,13,10
2,15,5,0,2,2
2,15,6,3,7,4
2,16,0,4,8,4
2,16,1,2,7,5
2,16,2,0,7,7
2,16,3,0,1,1
2,16,4,0,6,6
2,16,5,1,7,6
2,16,6,1,5,4
2,17,0,3,5,2
2,17,1,2,6,4
2,17,2,0,6,6
2,17,3,0,4,4
2,17,5,3,8,5
2,17,6,3,9,6
2,18,0,0,1,1
2,18,1,0,3,3
2,18,2,1,3,2
2,18,3,4,7,3
2,18,4,1,3,2
2,18,5,1,1,0
2,18,6,2,2,0
2,19,0,0,2,2
2,19,1,0,3,3
2,19,2,0,4,4
2,19,3,1,5,4
2,19,5,0,2,2
2,19,6,1,5,4
2,20,0,0,1,1
2,20,1,0,3,3
2,20,2,1,3,2
2,20,3,0,1,1
2,20,4,0,2,2
2,20,5,1,2,1
2,20,6,1,5,4
2,21,0,0,1,1
2,21,1,0,2,2
2,21,2,1,3,2
2,21,3,2,2,0
2,21,4,0,4,4
2,21,5,0,3,3
